,Modelled % testing positive for COVID-19 Alpha variant compatible*,95% Lower credible Interval,95% Upper credible Interval,Modelled % testing positive for COVID-19 Delta variant compatible**,95% Lower credible Interval,95% Upper credible Interval,Modelled % testing positive for COVID-19. virus too low for variant to be identifiable***,95% Lower credible Interval,95% Upper credible Interval,Modelled % testing positive for COVID-19 Alpha variant compatible*,95% Lower credible Interval,95% Upper credible Interval,Modelled % testing positive for COVID-19 Delta variant compatible**,95% Lower credible Interval,95% Upper credible Interval,Modelled % testing positive for COVID-19. virus too low for variant to be identifiable***,95% Lower credible Interval,95% Upper credible Interval,Modelled % testing positive for COVID-19 Alpha variant compatible*,95% Lower credible Interval,95% Upper credible Interval,Modelled % testing positive for COVID-19 Delta variant compatible**,95% Lower credible Interval,95% Upper credible Interval,Modelled % testing positive for COVID-19. virus too low for variant to be identifiable***,95% Lower credible Interval,95% Upper credible Interval,Modelled % testing positive for COVID-19 Alpha variant compatible*,95% Lower credible Interval,95% Upper credible Interval,Modelled % testing positive for COVID-19 Delta variant compatible**,95% Lower credible Interval,95% Upper credible Interval,Modelled % testing positive for COVID-19. virus too low for variant to be identifiable***,95% Lower credible Interval,95% Upper credible Interval,,
06 junho 2021,0.05,0.03,0.06,0.10,0.08,0.12,0.04,0.03,0.06,0.04,0.01,0.07,0.03,0.01,0.06,0.04,0.02,0.09,0.10,0.04,0.19,0.01,0.00,0.04,0.04,0.01,0.09,0.05,0.03,0.09,0.10,0.06,0.15,0.04,0.02,0.07,,
07 junho 2021,0.04,0.03,0.05,0.10,0.08,0.12,0.04,0.03,0.05,0.03,0.01,0.07,0.03,0.01,0.06,0.05,0.02,0.09,0.10,0.04,0.19,0.01,0.00,0.04,0.04,0.01,0.09,0.05,0.03,0.09,0.11,0.07,0.16,0.04,0.02,0.07,,
08 junho 2021,0.04,0.03,0.05,0.11,0.09,0.13,0.04,0.03,0.05,0.03,0.01,0.07,0.03,0.01,0.06,0.05,0.02,0.09,0.11,0.05,0.20,0.01,0.00,0.04,0.04,0.01,0.09,0.05,0.03,0.09,0.12,0.07,0.18,0.04,0.02,0.07,,
09 junho 2021,0.04,0.03,0.05,0.11,0.09,0.13,0.04,0.03,0.05,0.03,0.01,0.07,0.03,0.01,0.07,0.05,0.02,0.09,0.11,0.05,0.20,0.01,0.00,0.04,0.04,0.01,0.09,0.06,0.03,0.09,0.13,0.08,0.19,0.04,0.02,0.08,,
10 junho 2021,0.04,0.03,0.05,0.12,0.10,0.14,0.04,0.03,0.05,0.03,0.01,0.07,0.04,0.01,0.07,0.05,0.02,0.09,0.11,0.05,0.20,0.01,0.00,0.04,0.04,0.01,0.09,0.06,0.03,0.09,0.15,0.10,0.21,0.05,0.02,0.08,,
11 junho 2021,0.04,0.03,0.05,0.13,0.11,0.15,0.04,0.04,0.05,0.03,0.01,0.07,0.04,0.02,0.08,0.05,0.02,0.09,0.11,0.05,0.20,0.01,0.00,0.04,0.04,0.01,0.09,0.06,0.03,0.10,0.16,0.11,0.23,0.05,0.03,0.08,,
12 junho 2021,0.04,0.03,0.05,0.14,0.12,0.16,0.04,0.04,0.06,0.03,0.01,0.06,0.05,0.02,0.09,0.05,0.02,0.10,0.11,0.05,0.20,0.02,0.00,0.05,0.04,0.01,0.09,0.06,0.03,0.10,0.18,0.12,0.26,0.05,0.03,0.09,,
13 junho 2021,0.03,0.03,0.04,0.15,0.13,0.17,0.05,0.04,0.06,0.03,0.01,0.06,0.05,0.02,0.10,0.05,0.02,0.10,0.11,0.05,0.20,0.02,0.00,0.05,0.04,0.01,0.09,0.06,0.03,0.10,0.20,0.14,0.28,0.06,0.03,0.10,,
14 junho 2021,0.03,0.03,0.04,0.16,0.14,0.18,0.05,0.04,0.06,0.03,0.01,0.06,0.06,0.03,0.11,0.05,0.02,0.10,0.11,0.04,0.20,0.02,0.00,0.05,0.04,0.01,0.09,0.06,0.03,0.10,0.22,0.15,0.31,0.06,0.03,0.10,,
15 junho 2021,0.03,0.03,0.04,0.17,0.15,0.20,0.05,0.04,0.06,0.03,0.01,0.06,0.06,0.03,0.12,0.06,0.03,0.10,0.10,0.04,0.20,0.02,0.00,0.06,0.04,0.01,0.09,0.06,0.03,0.11,0.25,0.17,0.34,0.06,0.03,0.11,,
16 junho 2021,0.03,0.03,0.04,0.19,0.16,0.21,0.05,0.04,0.06,0.03,0.01,0.06,0.07,0.03,0.13,0.06,0.03,0.10,0.10,0.04,0.20,0.02,0.00,0.06,0.04,0.01,0.10,0.07,0.04,0.11,0.28,0.20,0.38,0.07,0.04,0.11,,
17 junho 2021,0.03,0.03,0.04,0.20,0.17,0.23,0.05,0.04,0.06,0.03,0.01,0.06,0.08,0.04,0.14,0.06,0.03,0.10,0.10,0.04,0.19,0.03,0.01,0.07,0.04,0.01,0.10,0.07,0.04,0.11,0.31,0.22,0.41,0.07,0.04,0.12,,
18 junho 2021,0.03,0.03,0.04,0.22,0.19,0.25,0.05,0.04,0.06,0.03,0.01,0.06,0.09,0.05,0.15,0.06,0.03,0.11,0.10,0.04,0.19,0.03,0.01,0.07,0.04,0.01,0.10,0.07,0.04,0.12,0.34,0.25,0.45,0.08,0.04,0.13,,
