,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
3951,ARG,South America,Argentina,2020-01-01,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,,,,,tests performed,,,,,,,,,,,,0.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,
3952,ARG,South America,Argentina,2020-01-02,,,,,,,,,,,,,,,,,,,,,,36.0,37.0,0.001,0.001,,,,,tests performed,,,,,,,,,,,,0.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,
3953,ARG,South America,Argentina,2020-01-03,,,,,,,,,,,,,,,,,,,,,,4.0,41.0,0.001,0.0,,,,,tests performed,,,,,,,,,,,,0.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,
3954,ARG,South America,Argentina,2020-01-04,,,,,,,,,,,,,,,,,,,,,,65.0,106.0,0.002,0.001,,,,,tests performed,,,,,,,,,,,,0.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,
3955,ARG,South America,Argentina,2020-01-05,,,,,,,,,,,,,,,,,,,,,,4.0,110.0,0.002,0.0,,,,,tests performed,,,,,,,,,,,,0.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,
3956,ARG,South America,Argentina,2020-01-06,,,,,,,,,,,,,,,,,,,,,,46.0,156.0,0.003,0.001,,,,,tests performed,,,,,,,,,,,,0.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,
3957,ARG,South America,Argentina,2020-01-07,,,,,,,,,,,,,,,,,,,,,,24.0,180.0,0.004,0.001,,,0.067,14.9,tests performed,,,,,,,,,,,,0.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,
3958,ARG,South America,Argentina,2020-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,0.001,,,tests performed,,,,,,,,,,,,0.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,
3959,ARG,South America,Argentina,2020-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,0.001,,,tests performed,,,,,,,,,,,,0.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,
3960,ARG,South America,Argentina,2020-01-10,,,,,,,,,,,,,,,,,,,,,,77.0,257.0,0.006,0.002,31.0,0.001,0.047,21.3,tests performed,,,,,,,,,,,,0.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,
3961,ARG,South America,Argentina,2020-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.001,,,tests performed,,,,,,,,,,,,0.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,
3962,ARG,South America,Argentina,2020-01-12,,,,,,,,,,,,,,,,,,,,,,36.0,293.0,0.006,0.001,26.0,0.001,0.023,43.5,tests performed,,,,,,,,,,,,0.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,
3963,ARG,South America,Argentina,2020-01-13,,,,,,,,,,,,,,,,,,,,,,2.0,295.0,0.007,0.0,20.0,0.0,0.024,41.7,tests performed,,,,,,,,,,,,0.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,
3964,ARG,South America,Argentina,2020-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,0.0,,,tests performed,,,,,,,,,,,,0.0,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,
